COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_smithii	p_M_intestini	N_M_smithii	N_M_intestini
"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain"	0.017779541	0.893924537	1	M. intestini	COG2369	GC_00002558	0.0328	0.0385	61	26
"Uncharacterized membrane protein YkvA, DUF1232 family (YkvA)"	0.006407602	0.93619948	1	M. smithii	COG3339	GC_00002262	0.082	0.0769	61	26
Uncharacterized conserved protein MJ0452 (PDB:1KJN)	0	1	1	NA	COG4081	GC_00000634	1	1	61	26
Myo-inositol-1-phosphate synthase (INO1) (PDB:1GR0)	0	1	1	NA	COG1260	GC_00001087	1	1	61	26
"Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein, fibrillarin family (HcgG) (PUBMED:25882909)"	0	1	1	NA	COG4018	GC_00000712	1	1	61	26
tRNA A58 N-methylase Trm61 (Gcd14) (PDB:1I9G)	0	1	1	NA	COG2519	GC_00000675	1	1	61	26
"Predicted metal-binding protein, contains two cysteine clusters, UPF0179 family (PUBMED:18675376)"	0	1	1	NA	COG1860	GC_00000603	1	1	61	26
Acyl-CoA thioesterase FadM (FadM) (PDB:2FUJ)	0	1	1	NA	COG0824	GC_00000870	1	1	61	26
"Protoporphyrinogen IX oxidase, menaquinone-dependent (flavodoxin domain) (HemG) (PUBMED:17873039)"	0	1	1	NA	COG4635	"GC_00000943, GC_00003567"	1	1	61	26
Kynurenine formamidase (PDB:1R61)	0	1	1	NA	COG1878	GC_00000931	1	1	61	26
"Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family (PpnN) (PDB:2PMB) (PUBMED:25728768;27941785;31023582;31420341)"	0	1	1	NA	COG1611	GC_00001408	1	1	61	26
DNA primase (bacterial type) (DnaG) (PDB:3B39) (PUBMED:28128549)	0	1	1	NA	COG0358	GC_00000676	1	1	61	26
Cysteine synthase (CysK) (PDB:1FCJ)	0	1	1	NA	COG0031	GC_00000493	1	1	61	26
"Transcription initiation factor IIE, alpha subunit (TFA1) (PDB:5FYW)"	0	1	1	NA	COG1675	GC_00000376	1	1	61	26
"Acid resistance membrane protein HdeD, DUF308 family (HdeD) (PUBMED:12694615;28802266)"	0	1	1	NA	COG3247	GC_00000904	1	1	61	26
Zn-dependent protease (includes sporulation protein SpoIVFB) (SpoIVFB) (PDB:3B4R)	0	1	1	NA	COG1994	GC_00000518	1	1	61	26
Aspartyl/asparaginyl-tRNA synthetase (AsnS) (PDB:3KFU)	0	1	1	NA	COG0017	GC_00000893	1	1	61	26
Flavorubredoxin (NorV) (PDB:4D02)	0	1	1	NA	COG1773	"GC_00000233, GC_00000234"	1	1	61	26
"DNA topoisomerase VI, subunit B (PDB:1MU5)"	0	1	1	NA	COG1389	GC_00000152	1	1	61	26
"NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC (FlaA1) (PDB:2GN4)!!!Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)"	0	1	1	NA	COG1086!!!COG2148	GC_00001014	1	1	61	26
"Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family (YfaS) (PDB:2A73)!!!Nitrous oxide reductase accessory protein NosD, contains tandem CASH domains (NosD) (PDB:2KZW)"	0	1	1	NA	COG2373!!!COG3420	"GC_00000041, GC_00001261, GC_00001553, GC_00001580, GC_00001588, GC_00001712, GC_00001732, GC_00001971, GC_00003241"	1	1	61	26
4-amino-2-methyl-5-hydroxymethylpyrimidine (HMP) synthase ThiC (ThiC) (PDB:3EPN) (PUBMED:15326535)	0	1	1	NA	COG0422	"GC_00000456, GC_00000457"	1	1	61	26
Valyl-tRNA synthetase (ValS) (PDB:1GAX)	0	1	1	NA	COG0525	GC_00001244	1	1	61	26
Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain) (YjiL) (PDB:1HUX)	0	1	1	NA	COG1924	GC_00000772	1	1	61	26
tRNA-dihydrouridine synthase (DusA) (PDB:1VHN)	0	1	1	NA	COG0042	"GC_00001271, GC_00003641"	1	1	61	26
Predicted ATP-dependent protease (LonB) (PDB:3K1J)	0	1	1	NA	COG1067	GC_00000432	1	1	61	26
Shikimate 5-dehydrogenase (AroE) (PDB:1NPD)	0	1	1	NA	COG0169	"GC_00001334, GC_00003355"	1	1	61	26
"DNA-directed RNA polymerase, subunit M/Transcription elongation factor TFIIS (RPB9) (PDB:5FJ8)"	0	1	1	NA	COG1594	"GC_00000289, GC_00000385, GC_00001607"	1	1	61	26
"Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB (SUA7) (PDB:1DL6)"	0	1	1	NA	COG1405	"GC_00000250, GC_00001511"	1	1	61	26
Ribosomal protein S2 (RpsB) (PDB:4V4H)	0	1	1	NA	COG0052	GC_00000324	1	1	61	26
"Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family (SpsF)"	0	1	1	NA	COG1861	GC_00001293	1	1	61	26
Ca2+/Na+ antiporter (ECM27) (PDB:3V5S)	0	1	1	NA	COG0530	"GC_00001161, GC_00003749"	1	1	61	26
Quinol monooxygenase YgiN (YgiN) (PDB:1R6Y) (PUBMED:15613473)	0	1	1	NA	COG1359	GC_00001265	1	1	61	26
Cysteinyl-tRNA synthetase (CysS) (PDB:1LI5)	0	1	1	NA	COG0215	GC_00000787	1	1	61	26
Pyruvoyl-dependent arginine decarboxylase (PdaD) (PDB:1MT1)	0	1	1	NA	COG1945	GC_00000980	1	1	61	26
"ABC-type polysaccharide/polyol phosphate transport system, ATPase component (TagH) (PDB:6JBH)"	0	1	1	NA	COG1134	"GC_00001030, GC_00001310"	1	1	61	26
Archaeal IMP cyclohydrolase (PurO) (PDB:1KUU) (PUBMED:21323758)	0	1	1	NA	COG3363	GC_00000377	1	1	61	26
"Tetrahydromethanopterin S-methyltransferase, subunit F (MtrF) (PUBMED:16647082)"	0	1	1	NA	COG4218	GC_00000392	1	1	61	26
"ABC-type cobalt transport system, periplasmic component (CbiN)"	0	1	1	NA	COG1930	GC_00000539	1	1	61	26
"Aspartate carbamoyltransferase, regulatory subunit (PyrI) (PDB:1NBE)"	0	1	1	NA	COG1781	GC_00000752	1	1	61	26
Uncharacterized conserved protein related to proFAR isomerase (HisA)	0	1	1	NA	COG1411	GC_00001115	1	1	61	26
"Coenzyme F420-reducing hydrogenase, beta subunit (FrhB) (PDB:3ZFS)"	0	1	1	NA	COG1035	"GC_00000771, GC_00001234"	1	1	61	26
"Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family (TagD) (PDB:2B7L)!!!Predicted dehydrogenase (MviM) (PDB:3UUW)"	0	1	1	NA	COG0615!!!COG0673	GC_00000176	1	1	61	26
"Multisubunit Na+/H+ antiporter, MnhF subunit (MnhF) (PDB:6CFW)"	0	1	1	NA	COG2212	GC_00000400	1	1	61	26
"Uncharacterized metal-binding protein MJ1132, UPF0058 family (PDB:2GF4)"	0	1	1	NA	COG1745	GC_00000581	1	1	61	26
"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)"	0	1	1	NA	COG1309	"GC_00000677, GC_00001136, GC_00003474"	1	1	61	26
"Putative translation regulator, IMPACT (imprinted ancient) protein family (YIH1) (PDB:1VI7) (PUBMED:15126500)"	0	1	1	NA	COG1739	GC_00001298	1	1	61	26
"DNA polymerase III sliding clamp (beta) subunit, PCNA homolog (DnaN) (PDB:1JQJ)"	0	1	1	NA	COG0592	"GC_00000305, GC_00002342, GC_00003123, GC_00003588"	1	1	61	26
Site-specific recombinase XerD (XerD) (PDB:1A0P)	0	1	1	NA	COG4974	"GC_00000869, GC_00001098, GC_00001534, GC_00001648, GC_00001738, GC_00001999, GC_00002122, GC_00002151, GC_00002293, GC_00002453, GC_00002589, GC_00002617, GC_00003212, GC_00003421, GC_00003733, GC_00003817, GC_00003886"	1	1	61	26
Nitrogen regulatory protein PII (GlnK) (PDB:2GW8) (PUBMED:24610711)	0	1	1	NA	COG0347	GC_00000292	1	1	61	26
"Holliday junction resolvase Hjc, archaeal type (PDB:1GEF)"	0	1	1	NA	COG1591	GC_00000285	1	1	61	26
Homoserine O-acetyltransferase (MET2) (PDB:2VAT)	0	1	1	NA	COG2021	GC_00001210	1	1	61	26
"DNA-directed RNA polymerase, subunit E'/Rpb7 (RPB7) (PDB:1NT9)"	0	1	1	NA	COG1095	GC_00000312	1	1	61	26
Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB) (PDB:6HUL)	0	1	1	NA	COG1350	GC_00000862	1	1	61	26
Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF)	0	1	1	NA	COG0057	GC_00000884	1	1	61	26
tRNA-binding EMAP/Myf domain (EMAP) (PDB:1MKH)!!!Methionyl-tRNA synthetase (MetG) (PDB:1A8H)	0	1	1	NA	COG0073!!!COG0143	GC_00001144	1	1	61	26
"DNA polymerase III, delta prime subunit (HolB) (PDB:1A5T)"	0	1	1	NA	COG0470	GC_00000750	1	1	61	26
"Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain (FumA) (PDB:5L2R)"	0	1	1	NA	COG1838	"GC_00000842, GC_00001178"	1	1	61	26
"Heterodisulfide reductase, subunit B (HdrB) (PDB:5ODC)"	0	1	1	NA	COG2048	"GC_00000338, GC_00000741"	1	1	61	26
"Phosphoribosylformylglycinamidine (FGAM) synthase, PurS subunit (PurS) (PDB:1GTD)"	0	1	1	NA	COG1828	GC_00000337	1	1	61	26
"5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain (YciV) (PDB:3E0F) (PUBMED:25871919)"	0	1	1	NA	COG0613	GC_00001062	1	1	61	26
"Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family (YfaS) (PDB:2A73)"	0	1	1	NA	COG2373	"GC_00000012, GC_00000091, GC_00000156, GC_00000196, GC_00000214, GC_00001401, GC_00001411, GC_00001416, GC_00001421, GC_00001483, GC_00001598, GC_00001680, GC_00001734, GC_00001788, GC_00001789, GC_00001805, GC_00001815, GC_00001817, GC_00001977, GC_00002148, GC_00002205, GC_00002325, GC_00002560, GC_00002584, GC_00003229, GC_00003598"	1	1	61	26
"Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily (PaaY) (PDB:6IVE)"	0	1	1	NA	COG0663	"GC_00000375, GC_00001500, GC_00003912"	1	1	61	26
"tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family (TrmA) (PDB:1UWV)"	0	1	1	NA	COG2265	GC_00001237	1	1	61	26
ADP-ribosylglycohydrolase (DraG) (PDB:1T5J)	0	1	1	NA	COG1397	GC_00000110	1	1	61	26
Thymidylate synthase (ThyA) (PDB:1AN5)	0	1	1	NA	COG0207	"GC_00000078, GC_00002362"	1	1	61	26
"Uncharacterized conserved protein, DUF2121 domain"	0	1	1	NA	COG4079	GC_00000624	1	1	61	26
"Fe-S-cluster-containing hydrogenase component 2 (HycB)!!!Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)!!!TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit (IorA)"	0	1	1	NA	COG1142!!!COG1143!!!COG4231	GC_00000714	1	1	61	26
Biopolymer transport protein ExbB/TolQ (TolQ) (PDB:5SV0)	0	1	1	NA	COG0811	"GC_00000142, GC_00000327, GC_00001550"	1	1	61	26
"DNA-directed RNA polymerase, subunit H, RpoH/RPB5 (RPB5) (PDB:1DZF)"	0	1	1	NA	COG2012	GC_00000336	1	1	61	26
RNase P/RNase MRP subunit p29 (POP4) (PDB:1OQK)	0	1	1	NA	COG1588	GC_00000713	1	1	61	26
"dTDP-D-glucose 4,6-dehydratase (RfbB) (PDB:1G1A)"	0	1	1	NA	COG1088	GC_00000940	1	1	61	26
"ABC-type phosphate transport system, periplasmic component (PstS) (PDB:2Q9T)"	0	1	1	NA	COG0226	GC_00000695	1	1	61	26
"Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein, methyltransferase HcgC (HcgC) (PDB:5D4T) (PUBMED:25882909)"	0	1	1	NA	COG4017	GC_00001325	1	1	61	26
Pyrroline-5-carboxylate reductase (ProC) (PDB:3GT0) (PUBMED:22125496;26507882)	0	1	1	NA	COG0345	GC_00000109	1	1	61	26
"Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)!!!Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits (DsrA)!!!TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit (IorA)"	0	1	1	NA	COG1143!!!COG2221!!!COG4231	GC_00000023	1	1	61	26
GTP:adenosylcobinamide-phosphate guanylyltransferase (PDB:2MZB) (PUBMED:16895922)	0	1	1	NA	COG2266	GC_00000795	1	1	61	26
"Uncharacterized conserved protein, DUF2193 domain"	0	1	1	NA	COG4883	GC_00000086	1	1	61	26
Molybdopterin-guanine dinucleotide biosynthesis protein (MobB) (PDB:1NP6) (PUBMED:32239579)	0	1	1	NA	COG1763	GC_00001227	1	1	61	26
Phosphosulfolactate phosphohydrolase or related enzyme (ComB) (PDB:1VR0)	0	1	1	NA	COG2045	GC_00001167	1	1	61	26
Ribosomal protein L2 (RplB) (PDB:1VS6)	0	1	1	NA	COG0090	GC_00000230	1	1	61	26
Flavin prenyltransferase UbiX (UbiX) (PDB:1SBZ) (PUBMED:28754323;26083743)	0	1	1	NA	COG0163	GC_00000583	1	1	61	26
3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase (MmsB) (PDB:1I36)	0	1	1	NA	COG2084	GC_00000960	1	1	61	26
4-hydroxybenzoate synthetase (chorismate-pyruvate lyase) (UbiC) (PDB:1FW9)	0	1	1	NA	COG3161	GC_00000531	1	1	61	26
Threonyl-tRNA synthetase (ThrS) (PDB:1NYQ)	0	1	1	NA	COG0441	GC_00001254	1	1	61	26
"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppC)"	0	1	1	NA	COG1173	"GC_00001029, GC_00003522"	1	1	61	26
Citrate synthase (GltA) (PDB:3TQG) (PUBMED:25211225)	0	1	1	NA	COG0372	GC_00000723	1	1	61	26
"Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain (TtdA) (PDB:5L2R) (PUBMED:15613473)"	0	1	1	NA	COG1951	"GC_00001127, GC_00001249"	1	1	61	26
"Stage II sporulation protein SpoIIM, component of the engulfment complex (SpoIIM)"	0	1	1	NA	COG1300	GC_00001130	1	1	61	26
Ribosomal protein L15 (RplO) (PDB:1VS6)	0	1	1	NA	COG0200	GC_00000310	1	1	61	26
"Na+/melibiose symporter or related transporter (MelB) (PDB:4M64)!!!Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)"	0	1	1	NA	COG2211!!!COG2814	"GC_00001252, GC_00001470, GC_00001759"	1	1	61	26
Ribosomal protein L23 (RplW) (PDB:1VS6)	0	1	1	NA	COG0089	GC_00000445	1	1	61	26
Beta-ribofuranosylaminobenzene 5'-phosphate synthase (methanopterin biosynthesis) (bRFAP) (PDB:6YQQ) (PUBMED:16817932)	0	1	1	NA	COG1907	GC_00000976	1	1	61	26
RNA degradosome component RraA (regulator of RNase E activity) (RraA) (PDB:1J3L) (PUBMED:20471400)	0	1	1	NA	COG0684	GC_00000801	1	1	61	26
Dihydropteroate synthase (FolP) (PDB:1AD1)	0	1	1	NA	COG0294	GC_00000885	1	1	61	26
Energy-converting hydrogenase Eha subunit F (EhaF) (PUBMED:19495416)	0	1	1	NA	COG4037	GC_00000974	1	1	61	26
Precorrin-4 methylase (CobM) (PDB:4E16)	0	1	1	NA	COG2875	GC_00000897	1	1	61	26
Arginyl-tRNA synthetase (ArgS) (PDB:1BS2)	0	1	1	NA	COG0018	GC_00001120	1	1	61	26
"S-layer protein MJ0795, predicted component of type IV pili-like system (MJ0795)"	0	1	1	NA	COG1361	"GC_00000003, GC_00000020"	1	1	61	26
"Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains (Rli1) (PDB:3J16)"	0	1	1	NA	COG1245	GC_00000981	1	1	61	26
"Membrane-associated protease RseP, regulator of RpoE activity (RseP)"	0	1	1	NA	COG0750	GC_00000149	1	1	61	26
"TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit (IorA)"	0	1	1	NA	COG4231	"GC_00000270, GC_00001219, GC_00001383"	1	1	61	26
rRNA-processing protein FCF1 (Fcf1) (PDB:4MJ7)	0	1	1	NA	COG1412	GC_00000350	1	1	61	26
NaMN:DMB phosphoribosyltransferase (CobT) (PDB:1D0S)	0	1	1	NA	COG2038	GC_00001229	1	1	61	26
dTDP-glucose pyrophosphorylase (RmlA1) (PDB:1FXO)	0	1	1	NA	COG1209	GC_00001093	1	1	61	26
ATP-dependent 26S proteasome regulatory subunit (RPT1) (PDB:5EQT)	0	1	1	NA	COG1222	GC_00000339	1	1	61	26
Ribosomal protein S28E/S33 (RPS28A) (PDB:1NE3) (PUBMED:17307853)	0	1	1	NA	COG2053	GC_00000235	1	1	61	26
"Sulfur incorporation enzyme MA1821 (anaerobic homocysteine biosynthesis), HcyBio/DUF39 family (HcyBio) (PUBMED:25315403)"	0	1	1	NA	COG1900	GC_00000175	1	1	61	26
Exonuclease III (XthA) (PDB:1AKO)	0	1	1	NA	COG0708	"GC_00000510, GC_00002013, GC_00002837"	1	1	61	26
Threonine dehydrogenase or related Zn-dependent dehydrogenase (Tdh) (PDB:4A2C)	0	1	1	NA	COG1063	"GC_00000083, GC_00000596"	1	1	61	26
"ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain (GsiA)"	0	1	1	NA	COG1123	"GC_00000076, GC_00000153, GC_00000543"	1	1	61	26
"NAD kinase (NadK) (PDB:1SUW)!!!Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family (SuhB) (PDB:1AWB)"	0	1	1	NA	COG0061!!!COG0483	GC_00001149	1	1	61	26
"Small heat shock protein IbpA, HSP20 family (IbpA) (PDB:1GME)"	0	1	1	NA	COG0071	"GC_00001209, GC_00003534"	1	1	61	26
"Lysyl-tRNA synthetase, class I (LysS) (PDB:1IRX)"	0	1	1	NA	COG1384	GC_00001007	1	1	61	26
"Pilus assembly protein, ATPase of CpaF family (CpaF)"	0	1	1	NA	COG4962	GC_00001309	1	1	61	26
"Predicted transcriptional regulator, ArsR family (PDB:2P4W)"	0	1	1	NA	COG1777	GC_00000977	1	1	61	26
Homoserine dehydrogenase (ThrA) (PDB:5AVO) (PUBMED:29124164)	0	1	1	NA	COG0460	GC_00001076	1	1	61	26
"Predicted metal-dependent RNase, contains metallo-beta-lactamase and KH domains (PDB:3AF5)"	0	1	1	NA	COG1782	GC_00000586	1	1	61	26
Peptide methionine sulfoxide reductase MsrA (MsrA) (PDB:1FF3)!!!Peptide methionine sulfoxide reductase MsrB (MsrB) (PDB:1L1D)	0	1	1	NA	COG0225!!!COG0229	"GC_00000085, GC_00000188"	1	1	61	26
Ammonia channel protein AmtB (AmtB) (PDB:1U77)	0	1	1	NA	COG0004	GC_00001012	1	1	61	26
"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain (PurL2) (PDB:1T3T)"	0	1	1	NA	COG0047	GC_00000431	1	1	61	26
UDP-galactopyranose mutase (Glf) (PDB:1I8T)	0	1	1	NA	COG0562	GC_00000923	1	1	61	26
"2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family (PDB:6BWH)"	0	1	1	NA	COG1920	GC_00000461	1	1	61	26
S-formylglutathione hydrolase FrmB (FrmB) (PDB:1DQY)	0	1	1	NA	COG0627	GC_00001354	1	1	61	26
"Predicted ATPase, PP-loop superfamily"	0	1	1	NA	COG1365	GC_00001255	1	1	61	26
Biotin carboxyl carrier protein (AccB) (PDB:1A6X)!!!Pyruvate/oxaloacetate carboxyltransferase (OadA1) (PDB:2NX9) (PUBMED:18681940)	0	1	1	NA	COG0511!!!COG5016	GC_00000922	1	1	61	26
"NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC (FlaA1) (PDB:2GN4)"	0	1	1	NA	COG1086	GC_00000296	1	1	61	26
"tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA (TruB) (PDB:1K8W)"	0	1	1	NA	COG0130	GC_00000804	1	1	61	26
"Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif (Rri1) (PDB:2O95)"	0	1	1	NA	COG1310	GC_00001323	1	1	61	26
Uncharacterized archaeal Zn-finger protein	0	1	1	NA	COG1326	GC_00001018	1	1	61	26
Glutamate synthase domain 3 (GltB3) (PDB:1EA0)	0	1	1	NA	COG0070	GC_00000137	1	1	61	26
"Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family (RdgB) (PDB:1B78)"	0	1	1	NA	COG0127	GC_00000917	1	1	61	26
Flavorubredoxin (NorV) (PDB:4JHC)	0	1	1	NA	COG0426	"GC_00000484, GC_00000485"	1	1	61	26
"Sulfatase maturation enzyme AslB, radical SAM superfamily (AslB) (PDB:4K37)"	0	1	1	NA	COG0641	"GC_00001320, GC_00002553"	1	1	61	26
Glutamate synthase domain 2 (GltB2) (PDB:1EA0)	0	1	1	NA	COG0069	GC_00000349	1	1	61	26
Imidazole glycerol phosphate synthase subunit HisF (HisF) (PDB:1OX4)	0	1	1	NA	COG0107	GC_00000580	1	1	61	26
"Fructose-bisphosphate aldolase class Ia, DhnA family (FbaB) (PDB:1OJX)"	0	1	1	NA	COG1830	GC_00000343	1	1	61	26
Molybdopterin Mo-transferase (molybdopterin biosynthesis) (MoeA) (PDB:2NQU) (PUBMED:18801996;32239579)	0	1	1	NA	COG0303	"GC_00001105, GC_00001159"	1	1	61	26
"DNA replicative helicase MCM subunit Mcm2, Cdc46/Mcm family (Mcm2) (PDB:3F8T)"	0	1	1	NA	COG1241	"GC_00000379, GC_00002808, GC_00002849, GC_00003302"	1	1	61	26
"Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family (YurZ) (PDB:3BEY)"	0	1	1	NA	COG0599	GC_00000809	1	1	61	26
Ribosomal protein S11 (RpsK) (PDB:4V4H)	0	1	1	NA	COG0100	GC_00000216	1	1	61	26
"Predicted phosphodiesterase, calcineurin family (YfcE) (PDB:1SU1) (PUBMED:17586769)"	0	1	1	NA	COG0622	GC_00000139	1	1	61	26
Cytidylate kinase (CmkB)	0	1	1	NA	COG1102	GC_00000735	1	1	61	26
"Cdc6-related protein, AAA superfamily ATPase (CDC6) (PDB:1FNN)"	0	1	1	NA	COG1474	"GC_00000365, GC_00000906"	1	1	61	26
dsDNA-specific endonuclease/ATPase MutS2 (MutS2)	0	1	1	NA	COG1193	GC_00001336	1	1	61	26
"Queuosine precursor transporter YhhQ, DUF165 family (YhhQ) (PUBMED:31481610)"	0	1	1	NA	COG1738	"GC_00000103, GC_00001023"	1	1	61	26
Uncharacterized membrane protein	0	1	1	NA	COG4713	"GC_00000206, GC_00001171, GC_00001515, GC_00001533, GC_00001576, GC_00001605, GC_00001760, GC_00001973, GC_00002165, GC_00003363"	1	1	61	26
CBS-domain-containing membrane protein	0	1	1	NA	COG3448	GC_00000448	1	1	61	26
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archeal type (ApgM) (PDB:2ZKT)"	0	1	1	NA	COG3635	"GC_00000595, GC_00001379"	1	1	61	26
Archaeal DNA repair protein NreA (NreA) (PUBMED:26337406)	0	1	1	NA	COG1602	GC_00000963	1	1	61	26
Precorrin-8X methylmutase CbiC/CobH (CobH) (PDB:1F2V)	0	1	1	NA	COG2082	GC_00000575	1	1	61	26
"Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)!!!Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)"	0	1	1	NA	COG1396!!!COG1917	"GC_00000466, GC_00000604"	1	1	61	26
"Uncharacterized conserved protein, DUF371 domain (PDB:3CBN)"	0	1	1	NA	COG2090	GC_00000740	1	1	61	26
"Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family (PaaK) (PDB:2Y4O)"	0	1	1	NA	COG1541	"GC_00000793, GC_00000794"	1	1	61	26
"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit (PorG) (PDB:1B0P)"	0	1	1	NA	COG1014	"GC_00000362, GC_00000508, GC_00000971"	1	1	61	26
Ketopantoate reductase (PanE) (PDB:1BG6)	0	1	1	NA	COG1893	GC_00001278	1	1	61	26
Glutamyl-tRNA reductase (HemA) (PDB:2XOE)	0	1	1	NA	COG0373	GC_00000791	1	1	61	26
Ribosome maturation protein Sdo1 (Sdo1)	0	1	1	NA	COG1500	GC_00000597	1	1	61	26
"Uncharacterized conserved protein, DUF2096 domain"	0	1	1	NA	COG4010	GC_00000698	1	1	61	26
"Uncharacterized conserved protein, DUF447 domain (PDB:2IML)"	0	1	1	NA	COG2457	GC_00000841	1	1	61	26
"DNA replication initiation complex subunit, GINS family"	0	1	1	NA	COG1711	GC_00001066	1	1	61	26
"Prefoldin, chaperonin cofactor (GimC) (PDB:1FXK)"	0	1	1	NA	COG1382	GC_00000226	1	1	61	26
GTP cyclohydrolase FolE2 (FolE2) (PDB:2R5R) (PUBMED:19767425)	0	1	1	NA	COG1469	GC_00000730	1	1	61	26
Prephenate dehydratase (PheA2) (PDB:1PHZ)	0	1	1	NA	COG0077	GC_00000952	1	1	61	26
"Thiamin-binding stress-response protein YqgV, UPF0045 family (YqgV) (PDB:1LXJ) (PUBMED:20471400)"	0	1	1	NA	COG0011	GC_00000449	1	1	61	26
